TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-09-2026,10-09-2026,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7434.35,7434.35,7290.1,7330,7330,7393.3,,7329,,,1945,14292177,372,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1354.65,1384,1300.3,1306.6,1306.6,1341.45,,1307.58,,,46253,62075089,2866,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,830.05,837.45,817,819.2,817.8,832.55,,819.2,,,58833,48655842,3595,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500009,INE432A01017,AMBALALSA,T,,,,,AMBALAL SARABHAI ENTERPRISES L,42.15,42.15,41.02,41.45,41.16,42.15,,41.51,,,10674,441631,39,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,47.01,47.9,45.36,45.51,45.51,47.01,,45.51,,,51987,2393674,438,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.49,3.49,3.44,3.49,3.49,3.46,,3.39,,,8194,28350,14,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.97,3.97,3.8,3.83,3.83,3.87,,3.83,,,5112,19806,50,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.42,7.99,7.14,7.48,7.5,7.42,,7.48,,,27540,203117,47,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,113.9,114.05,111.75,112.75,112.75,112.9,,112.52,,,30173,3399061,408,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,389.85,402.1,380.9,385.4,387.45,408.2,,382.41,,,844,324632,70,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6225.9,6379.9,6225.9,6345.45,6346,6217.65,,6355.88,,,466,2940594,128,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,25.9,25.98,24.99,25,25,25.29,,25,,,14493,366436,95,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,341.8,345.45,335.65,338.35,339.5,339.4,,337.76,,,18495,6268580,442,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,B,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,21.38,21.88,21.24,21.42,21.42,21.37,,21.4,,,1064008,22901950,2165,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,17410,18331,17375,18160,18160,17378.65,,18174.61,,,20335,366820578,5250,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1038.15,1048.8,1036.1,1046,1046,1040,,1043.91,,,230365,240435844,6959,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD,704,714.25,694.95,707.05,707.05,699.2,,705.2,,,78954,55716239,1993,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,641,641,624.6,630.9,629.05,635.05,,628.4,,,23247,14670264,502,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1337.05,1345.3,1322.45,1336.5,1336.5,1341.65,,1337.34,,,3055,4072238,321,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3620,3620,3564.9,3570.2,3570.2,3682.15,,3590.13,,,20,71735,9,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3730,3775.75,3680.95,3692.2,3680.95,3745.25,,3688.48,,,692,2572100,216,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,660.1,663.45,652.1,653.7,653.5,660.95,,653.29,,,7812,5137669,456,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,2101.65,2108.55,2025,2029.95,2029.95,2097.05,,2029.05,,,32515,66695860,1567,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,406.2,407,402,403,403,406.2,,404.9,,,854493,345660892,12634,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,7.61,7.64,7.23,7.23,7.23,7.61,,7.23,,,13143,95583,101,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,133.75,135.9,129.6,130.5,131,133.6,,130.3,,,137661,18224781,1656,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,12.08,12.2,11.6,12.01,12.09,11.87,,12.01,,,13074,155409,75,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,4.12,4.12,3.88,3.95,3.95,4,,4,,,3133,12718,11,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,369.85,373.3,360.15,373.3,373.3,355.55,,374.65,,,80616,29885663,1127,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1454.2,1519.2,1454.2,1513.6,1513.6,1455.8,,1513.99,,,29274,43803939,1625,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,256.9,256.9,250.5,250.5,250.5,250,,250.5,,,178,44879,13,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,48.35,49,47,47.24,47.45,48.05,,47.32,,,6603,313763,108,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,540.85,559,521.4,524.95,524.95,540.85,,524.79,,,7202,3890289,660,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,21.98,22.89,21.98,22.83,22.83,21.92,,22.8,,,46198,1043591,411,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,149.15,152.45,146.45,147.05,147.05,149.7,,147.53,,,99761,14872464,2046,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,414,423,414,417.6,417.6,415.7,,417.74,,,41188,17274921,1634,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,410.05,423.95,410,420.8,420.8,410.9,,420.85,,,232069,97485396,5231,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1364.5,1380,1363.95,1380,1380,1368,,1373.34,,,15545,21324149,1195,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,618.9,618.9,600.3,600.35,600.35,618.9,,601.08,,,213,128880,54,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4699.95,4778.05,4682.15,4720.35,4718.7,4682.85,,4721.66,,,834,3941795,225,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,927.05,930.6,906,908,908,927,,914.51,,,134771,123465695,5045,F1,1,,,,,
10-09-2026,10-09-2026,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,369.55,377.65,368.45,377.5,377.5,372,,376.46,,,81355,30414192,2525,F1,1,,,,,
